source target weight
46672 7444 1
46694 56814 1
46726 58453 1
46756 56982 1
46896 5129 1
46896 59482 1
46904 62970 1
46910 50288 1
46910 65034 1
46965 60949 1
46965 7920 1
47062 56153 1
47062 58833 1
47062 63845 1
4713 5916 1
4713 6245 1
4713 7444 1
47175 50904 1
47251 7388 1
47312 55866 1
47321 56648 1
47389 50986 1
47389 5612 1
47389 63357 1
47422 55414 1
4750 58288 1
4750 63618 1
47507 49929 1
47507 61981 1
47949 48971 1
47949 56671 1
47949 63447 1
48093 50382 1
48093 6616 1
48099 50338 1
48099 65210 1
48109 63723 1
48118 55332 1
48282 51559 1
48287 6289 1
48287 64587 1
48423 6204 1
48477 5823 1
48513 51856 1
48698 62795 1
487 5103 1
487 5197 1
487 7162 1
48713 7444 1
48713 7898 1
48778 51923 1
48807 6580 1
48813 861 1
48828 58833 1
48828 62662 1
48878 51524 1
49047 51517 1
49047 61982 1
49147 49416 1
49254 61217 1
49308 58244 1
49343 8544 1
4940 9976 1
49408 59252 1
49408 62795 1
49415 55166 1
49415 7082 1
4944 53002 1
49445 64181 1
49481 51420 1
49481 65053 1
49515 9769 1
49534 7918 1
49547 56231 1
49547 6363 1
49571 57953 1
49588 61264 1
49605 5022 1
49605 50382 1
49605 60440 1
49639 49978 1
49651 5296 1
49651 7641 1
4973 5129 1
4973 9864 1
4977 53957 1
49806 63649 1
49806 6580 1
49900 5802 1
49929 60405 1
49969 55085 1
49978 6538 1
49978 8938 1
49978 9355 1
50041 8566 1
50150 64878 1
5018 60440 1
50197 50422 1
50225 55772 1
50264 63048 1
50338 57240 1
50340 5065 1
50340 6043 1
50360 54776 1
50422 50570 1
50422 50862 1
50459 56856 1
50459 58427 1
50459 64111 1
50472 63067 1
50515 56370 1
50570 55854 1
5065 60031 1
50690 57259 1
50904 6981 1
51108 57167 1
51146 51524 1
51220 62831 1
51291 5560 1
51404 5237 1
51404 61327 1
51420 65053 1
5152 61198 1
51748 55558 1
51856 59718 1
51953 7069 1
5197 64587 1
52031 52848 1
52095 57746 1
52157 59009 1
52213 54354 1
5233 55676 1
5233 61388 1
5233 63723 1
5233 7082 1
5233 7285 1
5237 58854 1
5237 6363 1
52423 570 1
52632 60002 1
52655 63447 1
52714 59606 1
5289 57061 1
5296 62697 1
5296 9370 1
53002 55392 1
53213 7112 1
53292 9194 1
53558 57900 1
53574 60942 1
53574 7659 1
53677 9505 1
53793 62017 1
53945 64395 1
54043 63944 1
5408 56589 1
5408 63139 1
5408 930 1
54142 56149 1
54142 61306 1
54142 9373 1
54142 94 1
544 7786 1
54447 57226 1
54447 57264 1
54447 60791 1
54574 55380 1
54574 59605 1
5462 7364 1
54629 64221 1
54657 9432 1
54868 59606 1
54877 63965 1
54974 59605 1
55085 55392 1
55247 63799 1
55373 58833 1
55485 65034 1
55558 64401 1
55571 60440 1
55643 6949 1
55647 56716 1
55647 57362 1
55648 7786 1
55649 6446 1
55743 6967 1
55993 8198 1
56066 62217 1
56066 63447 1
56090 8938 1
5616 56814 1
5622 6 1
56381 8533 1
56509 59151 1
56722 57226 1
56722 57264 1
56803 62694 1
56807 59016 1
57011 65485 1
57030 9535 1
57044 57746 1
57199 61327 1
57226 59650 1
57257 6741 1
5743 58218 1
5743 64210 1
5743 9386 1
57736 7594 1
57746 62490 1
57839 61050 1
58069 60737 1
58198 58603 1
58210 60440 1
58210 62970 1
5823 59009 1
5823 9877 1
58244 7112 1
58402 59728 1
58402 6764 1
58545 8544 1
5875 9788 1
58763 63963 1
58763 7153 1
58833 62103 1
58968 9355 1
59005 61217 1
59220 9469 1
59252 59606 1
5935 64210 1
5935 9392 1
59370 63795 1
59482 9864 1
59606 60180 1
59606 8938 1
59650 9650 1
59728 61308 1
59861 6718 1
59928 63282 1
59928 63723 1
60031 6043 1
60153 65107 1
60398 60648 1
60398 7388 1
60440 6250 1
60529 6363 1
60532 62103 1
60532 9009 1
60803 6542 1
60942 61306 1
60942 64709 1
60989 63039 1
61050 64024 1
6113 9976 1
61306 63139 1
61320 63799 1
61388 864 1
61525 61871 1
61525 63965 1
61868 6718 1
62021 65034 1
6204 63976 1
62069 63639 1
62214 64426 1
62429 63723 1
62767 63138 1
63027 65400 1
63138 6967 1
63194 64265 1
63194 6799 1
63398 7444 1
63439 63921 1
63639 64501 1
63845 8643 1
64210 7444 1
64239 64612 1
64265 6538 1
64509 9355 1
65093 9262 1
65097 7594 1
651 9149 1
65203 7503 1
65224 6913 1
65273 7364 1
65308 6718 1
6534 8348 1
6542 94 1
65502 9469 1
6654 6913 1
7069 7609 1
7162 9695 1
8001 8012 1
